{
    {true, {-1,48},{-18,35},{-45,4}},
    {true, {-60827,-27158},{-77388,-56241},{8423,42905}},
    {true, {-3415,22438},{-38105,-15993},{-95955,-76115}},
    {true, {-45323,-34463},{44561,50643},{-63999,-42223}},
    {true, {5158,23904},{-69138,-34597},{-59221,-40866}},
    {true, {36923,53585},{44288,61327},{39198,56116}},
    {true, {-64918,-38968},{57460,62088},{8947,30454}},
    {true, {-19472,4315},{-9881,25534},{67512,88477}},
    {true, {-19322,-4647},{51754,78044},{42004,66218}},
    {true, {-56084,-41038},{39692,59940},{-45770,-34070}},
    {true, {-64655,-53379},{-19603,-7182},{48172,63856}},
    {true, {-84742,-51480},{-40279,-27497},{-36583,-22700}},
    {true, {12650,26785},{-83255,-59200},{-41616,-31127}},
    {true, {45345,77224},{-55551,-34660},{-30544,-12049}},
    {true, {-74026,-44388},{35577,55130},{-45713,-9853}},
    {true, {45201,64504},{-41118,-15260},{35803,68395}},
    {true, {-28668,-5925},{36026,54071},{-72582,-59110}},
    {true, {-60295,-35526},{-68018,-61750},{-7533,26299}},
    {true, {-15839,5573},{56539,66237},{-61049,-39765}},
    {true, {-19103,1455},{17388,40404},{67480,79225}},
    {true, {68183,75406},{-8345,21591},{20697,38662}},
    {true, {-12606,12296},{-62262,-40916},{-56920,-47779}},
    {true, {-30210,-19684},{-58656,-29986},{-62999,-50022}},
    {true, {-41781,-18933},{70096,80964},{930,28257}},
    {true, {58515,81081},{-19157,-7764},{-749,22814}},
    {true, {-36468,-7523},{-4485,16276},{-82639,-55736}},
    {true, {-17821,5703},{-43734,-20259},{60530,86122}},
    {true, {-67070,-58437},{-15623,-2156},{-55733,-28589}},
    {true, {57608,75127},{29614,46316},{-25665,-10046}},
    {true, {-74636,-52649},{12192,41942},{-35745,-17436}},
    {true, {-48575,-33267},{-51680,-46450},{33948,66864}},
    {true, {46470,74556},{-55803,-43731},{-12813,-4520}},
    {true, {62541,77459},{-24439,-11764},{-55106,-35094}},
    {true, {-57792,-45622},{-53447,-36460},{-53150,-35681}},
    {true, {44672,65150},{39838,58343},{423,27649}},
    {true, {66565,79736},{-3676,21015},{14005,38723}},
    {true, {61922,91970},{8327,10789},{-20323,2488}},
    {true, {-27586,-10336},{-61389,-44749},{-64363,-47539}},
    {true, {-76339,-43595},{-30824,-14219},{-71195,-38102}},
    {true, {-2914,28327},{52279,79154},{25622,50431}},
    {true, {14592,20229},{-87387,-61943},{16315,49757}},
    {true, {-82215,-59175},{-797,21247},{6622,27407}},
    {true, {11251,41584},{-252,20658},{71136,87064}},
    {true, {9886,32822},{29548,61741},{59730,76336}},
    {true, {-7855,14348},{67583,80902},{5744,18485}},
    {true, {26112,39316},{51704,80793},{11029,30029}},
    {true, {795,28775},{-34240,-27197},{-78054,-54474}},
    {true, {56223,75620},{11250,25211},{39671,43024}},
    {true, {-87370,-59866},{10030,29821},{12702,36824}},
    {true, {56779,87392},{-1347,28978},{-49750,-11313}},
    {true, {-54293,-38099},{-40529,-25148},{47024,70703}},
    {true, {851,23744},{-77739,-71188},{-38949,-11214}},
    {true, {25485,45943},{31702,39631},{41474,72200}},
    {true, {-62674,-31219},{63432,82919},{2388,17976}},
    {true, {8190,34813},{-50078,-21869},{-85521,-51791}},
    {true, {-37169,-28619},{-82834,-54782},{6972,33255}},
    {true, {-94037,-61263},{-25046,-13909},{-1595,13575}},
    {true, {-48575,-18955},{-33677,-7346},{-86145,-60031}},
    {true, {-70103,-45107},{56430,67948},{-4521,22032}},
    {true, {-39000,-11704},{-89826,-66521},{2050,13409}},
    {true, {-79014,-51289},{-18428,-7420},{-40051,-36036}},
    {true, {63968,77897},{-46827,-24236},{-17549,-1367}},
    {true, {40284,69939},{-59306,-37365},{-33218,-24152}},
    {true, {-5865,6145},{-45825,-19521},{54336,77839}},
    {true, {-36677,-2216},{-18925,10640},{76012,92808}},
    {true, {34752,51086},{-46989,-9643},{45901,76454}},
    {true, {-33588,-15727},{-11258,9373},{-96263,-60633}},
    {true, {-73095,-49898},{25057,49623},{15417,28776}},
    {true, {4163,24517},{-20001,-2003},{-80081,-60804}},
    {true, {-86958,-54386},{6397,30505},{-38410,-16437}},
    {true, {-39425,-21522},{60205,71184},{-26523,-9906}},
    {true, {-1999,16749},{-19711,3250},{-90466,-79089}},
    {true, {52104,70877},{49853,69350},{-26043,-5847}},
    {true, {24930,39110},{62242,79178},{11719,29720}},
    {true, {-60664,-51784},{43333,65915},{601,19359}},
    {true, {-29790,-6353},{15820,24330},{60477,88555}},
    {true, {32312,47112},{-28093,-18926},{-79625,-46718}},
    {true, {60532,91913},{-20228,-1888},{-19805,-11355}},
    {true, {32446,58611},{47906,68941},{11821,34225}},
    {true, {-39549,-18048},{40533,75594},{46997,70196}},
    {true, {-32503,-25718},{51256,59295},{-70760,-49449}},
    {true, {-59217,-29514},{-74861,-57830},{-6269,24788}},
    {true, {-80361,-65493},{428,2713},{33014,44378}},
    {true, {31542,41702},{-32423,-22521},{56883,80195}},
    {true, {9359,34184},{-76555,-63080},{11041,40148}},
    {true, {7929,24123},{50480,66548},{-64026,-46463}},
    {true, {-43348,-34979},{-68370,-55559},{26232,43403}},
    {true, {-4464,10557},{46962,65148},{-71132,-61326}},
    {true, {-3771,22814},{44252,68810},{45781,60494}},
    {true, {16543,35012},{13610,25339},{65440,82579}},
    {true, {50974,66025},{30398,66352},{-2272,16038}},
    {true, {46191,53893},{-38750,-27782},{-46797,-31742}},
    {true, {59527,88181},{4389,27568},{18080,46791}},
    {true, {36489,52121},{-60282,-37683},{-33913,-12899}},
    {true, {-60041,-48837},{53336,56411},{-12772,19906}},
    {true, {-82656,-78380},{-23713,7350},{846,9694}},
    {true, {-69894,-54155},{20299,50513},{-12904,4460}},
    {true, {26093,46240},{-28122,1445},{-77998,-52871}},
    {true, {-53121,-32900},{-63457,-34367},{27620,52825}},
    {true, {-84340,-58234},{44385,45908},{-9758,3136}},
    {true, {-5984,19701},{-46271,-28381},{-75864,-47509}},
    {true, {56726,68908},{36981,42831},{-15306,17015}},
    {true, {-44682,-25301},{39444,56028},{25699,54323}},
    {true, {58214,80818},{9623,41643},{-16613,-11010}},
    {true, {-82918,-50677},{22662,39310},{-16004,6698}},
    {true, {-32905,-27900},{5414,42444},{64349,78279}},
    {true, {-70719,-58202},{-41565,-19928},{13718,33387}},
    {true, {56598,71196},{-48262,-39005},{-402,34641}},
    {true, {74793,78440},{-26790,-8302},{3994,33189}},
    {true, {-59924,-37383},{29231,42923},{-65456,-35636}},
    {true, {-78704,-48945},{-23030,-14889},{41803,50251}},
    {true, {52005,72511},{-63467,-39781},{-42303,-19657}},
    {true, {-27872,-10193},{-15032,84},{-82481,-77982}},
    {true, {-8502,20386},{-61440,-50322},{-60658,-51335}},
    {true, {-62283,-27803},{-33963,-8484},{41565,64105}},
    {true, {2033,26056},{28525,29178},{57035,90868}},
    {true, {-81809,-66606},{-33053,-21379},{14578,30469}},
    {true, {-44610,-15911},{-69004,-46363},{-64934,-36016}},
    {true, {-68945,-52936},{-42125,-28586},{29486,35239}},
    {true, {-22616,494},{-93383,-64839},{-33613,-13156}},
    {true, {53402,81484},{-45709,-29640},{16971,27227}},
    {true, {-17329,2689},{38367,60236},{-65779,-53760}},
    {true, {544,9988},{-88763,-77587},{-17004,12529}},
    {true, {28694,49703},{69019,79788},{-28728,1438}},
    {true, {-22376,3335},{43849,67633},{40655,65775}},
    {true, {-80423,-61942},{-18552,16738},{-16089,-10995}},
    {true, {-5300,17339},{-75762,-63850},{-44774,-23776}},
    {true, {-74769,-55813},{27477,42211},{-30079,-3179}},
    {true, {-40995,-24004},{-41765,-23675},{52719,78465}},
    {true, {53025,66595},{-3553,22759},{-53394,-38188}},
    {true, {-45876,-36194},{55838,79908},{2550,25102}},
    {true, {-63485,-52881},{18021,42286},{27309,46403}},
    {true, {-48779,-39049},{-58743,-33299},{35080,60133}},
    {true, {-31467,4569},{-61369,-32859},{-85202,-59337}},
    {false, {21993,32253},{48441,65406},{-47996,-40073}},
    {false, {-35198,-22285},{69010,86520},{-9592,7187}},
    {true, {-64097,-37019},{13152,21867},{61006,76336}},
    {false, {-22742,-5033},{-56240,-40408},{48511,65431}},
    {true, {-36566,-5811},{-16313,2085},{-93612,-64069}},
    {false, {61089,77983},{-41277,-14061},{-50208,-34100}},
    {false, {-68065,-53648},{23725,27195},{31676,42758}},
    {false, {21031,52474},{-74280,-49485},{-47275,-27138}},
    {false, {-93645,-53928},{12384,44405},{-27207,-41}},
    {true, {-4055,5189},{-40337,-32543},{-81591,-55238}},
    {true, {-34530,-11306},{-22986,10495},{-82396,-61102}},
    {true, {-31250,-14900},{-30548,-18642},{52820,73833}},
    {true, {34978,60410},{28155,49790},{39140,72681}},
    {false, {-6448,19399},{5391,27886},{-91414,-59741}},
    {false, {-75827,-60684},{-46368,-41254},{-15781,397}},
    {true, {-57977,-22796},{-76925,-41529},{18880,52786}},
    {false, {-83983,-60140},{-44019,-12351},{-14305,4593}},
    {false, {-49298,-44993},{4614,27922},{-70305,-59112}},
    {false, {-62329,-61994},{-7625,18261},{-69368,-38425}},
    {true, {67823,80427},{5390,27375},{-5980,8640}},
    {true, {-73645,-61230},{-44444,-19430},{-17891,-2980}},
    {false, {-64208,-46311},{-63901,-30902},{23938,57840}},
    {true, {32048,60913},{-7824,11109},{-78997,-55347}},
    {true, {-61365,-36248},{-74363,-55469},{-7759,11367}},
    {false, {42202,64640},{35785,61939},{6015,23732}},
    {false, {5488,28392},{57003,93250},{-1191,12909}},
    {false, {67515,82974},{-39921,-21713},{-18901,19539}},
    {true, {-96694,-76643},{-1592,33662},{7429,21816}},
    {true, {-52157,-33815},{53007,73829},{8064,26216}},
    {true, {75229,85614},{-599,18554},{7659,19227}},
    {true, {28376,57292},{-72617,-48528},{-22618,-19371}},
    {false, {-59398,-44521},{-29031,-15883},{-70674,-34037}},
    {true, {55293,83437},{2780,19016},{-41097,-20096}},
    {true, {-14860,4603},{56936,77754},{18511,39251}},
    {false, {52997,63549},{-37151,-14473},{-58163,-32431}},
    {true, {-23500,2396},{-26375,-132},{-93218,-65307}},
    {false, {69361,93524},{-24773,-5007},{-8425,3017}},
    {true, {58814,85297},{-47032,-35846},{-13872,16641}},
    {false, {-90866,-64554},{-27446,-12033},{-6160,23746}},
    {false, {-3033,13343},{-85265,-63549},{-32550,-16157}},
    {false, {-1789,15572},{-40747,-20883},{60589,75014}},
    {true, {-9804,23598},{-64924,-59519},{35818,48512}},
    {true, {-38448,-2399},{-13227,-7752},{-85365,-63035}},
    {true, {28680,44639},{-8409,2978},{-80875,-61970}},
    {false, {3813,25722},{49510,58204},{45835,68471}},
    {true, {63257,90085},{-7449,19104},{-25,23109}},
    {true, {81,38276},{44760,68292},{-80214,-43996}},
    {true, {-8169,20844},{17766,36865},{-81104,-59358}},
    {false, {-79202,-62792},{-26615,-9801},{-4233,9695}},
    {false, {16101,39646},{-93382,-62245},{8333,24397}},
    {true, {-34695,-24663},{61543,78424},{-50217,-29226}},
    {false, {-92579,-74463},{-17185,2660},{-27311,-9170}},
    {false, {58152,76439},{-33703,-22233},{-8339,20525}},
    {true, {-34466,-2282},{-59486,-37139},{54046,71619}},
    {false, {-81089,-74394},{13555,29830},{10991,21447}},
    {false, {-47693,-41300},{-66511,-57519},{-15746,2821}},
    {false, {-86020,-71840},{-28708,-19562},{-31911,-8481}},
    {false, {53433,76347},{17199,50613},{17411,41638}},
    {false, {64984,70249},{16701,43046},{27880,52439}},
    {true, {-25413,-5189},{-70745,-53828},{-45390,-30486}},
    {false, {-34986,-20787},{16693,54533},{-68201,-66989}},
    {false, {-22407,10815},{-56235,-28903},{66827,82035}},
    {false, {-7229,24987},{-74889,-70150},{-42634,-10717}},
    {true, {61850,74170},{-3025,17055},{-51696,-31704}},
    {true, {-10078,11184},{49432,67395},{41346,45818}},
    {false, {-44780,-29593},{-37456,-16661},{-86554,-51942}},
    {false, {24959,39704},{47845,59502},{41279,53062}},
    {false, {50387,84028},{-14697,3304},{31116,52595}},
    {true, {7987,30004},{-74741,-53596},{-65460,-47213}},
    {true, {-75044,-57110},{47945,68090},{8399,24536}},
    {true, {26605,43266},{-76631,-58644},{-16557,13316}},
    {true, {-18526,-445},{29437,47879},{-78656,-62931}},
    {false, {47346,50550},{7714,28258},{-68990,-43642}},
    {false, {5010,26119},{-70819,-52223},{43562,46965}},
    {false, {40922,70019},{13891,28648},{38562,60313}},
    {true, {-68851,-46794},{15843,29283},{26538,63304}},
    {false, {-10070,19847},{-42799,-16564},{-89201,-61852}},
    {true, {-94,26044},{35850,59332},{43166,74939}},
    {true, {72857,82846},{11676,31044},{-7337,21481}},
    {true, {-86891,-74618},{8041,15909},{-22524,7319}},
    {false, {-6531,4581},{55498,74729},{17054,43380}},
    {true, {43147,61852},{-52092,-34293},{-53407,-33277}},
    {true, {42898,63895},{38414,67321},{36757,53643}},
    {false, {-48094,-21082},{-2904,16322},{61588,93757}},
    {false, {28145,50157},{-49071,-30119},{38908,63084}},
    {false, {-42556,-25827},{39054,63949},{-69190,-50949}},
    {true, {-51347,-32594},{-67175,-45834},{-49233,-33986}},
    {true, {29820,43610},{17692,42346},{-69108,-46540}},
    {true, {42237,51469},{35615,63053},{-52330,-42423}},
    {true, {25808,53353},{-24891,11597},{-66644,-58186}},
    {false, {5152,13607},{-59351,-32970},{57736,79356}},
    {true, {-51521,-42645},{16464,44515},{47395,58429}},
    {true, {57992,75886},{-8447,21320},{40625,59285}},
    {true, {-22302,1936},{26947,43631},{65888,82038}},
    {false, {-22444,-704},{72602,90007},{16263,38491}},
    {false, {-35368,-16154},{62065,85297},{-10017,15270}},
    {false, {75796,95425},{-23028,9545},{-10474,14719}},
    {false, {-62881,-43507},{28005,45544},{-51730,-23001}},
    {false, {-34342,-20555},{18279,36660},{-74104,-50052}},
    {false, {-73479,-64663},{-22317,-13353},{-39912,-29567}},
    {true, {1494,5125},{66357,70787},{-43240,-26843}},
    {false, {-71559,-51960},{37215,40836},{11752,30396}},
    {false, {68685,71294},{-27543,-8806},{17367,42352}},
    {false, {-93924,-67132},{-25823,11182},{5431,33711}},
    {false, {35564,65276},{-23013,-7997},{-72588,-54025}},
    {true, {-90262,-68890},{25897,51932},{-5182,677}},
    {true, {-2613,18067},{-7780,25272},{64835,97062}},
    {false, {-71949,-47713},{5377,23957},{-51697,-33553}},
    {true, {13021,38912},{-80820,-56879},{-43587,-19587}},
    {true, {-84708,-48507},{24611,53624},{9478,25637}},
    {false, {51153,63433},{47603,59113},{7910,20497}},
    {false, {-34614,-13873},{58451,70828},{16703,47588}},
    {true, {-15592,1816},{-94634,-68699},{-17343,4032}},
    {false, {8693,17027},{-85083,-57180},{-32433,-22117}},
    {true, {-71073,-48520},{-61171,-56263},{-8077,24429}},
    {true, {18761,33445},{-34161,-11912},{-76487,-63493}},
    {false, {-71183,-51320},{-33705,-9711},{-50743,-31159}},
    {true, {21266,39612},{-84552,-62206},{-40513,-20917}},
    {true, {-22410,285},{17900,46706},{72043,75407}},
    {true, {17565,45107},{55640,70614},{-52893,-42440}},
    {true, {4350,22563},{-83182,-67900},{15567,20770}},
    {false, {23504,44371},{-77148,-52414},{-2767,2514}},
    {false, {-59728,-48637},{-43662,-15334},{34025,65733}},
    {true, {-4606,11234},{60774,91167},{-23118,-6966}},
    {true, {59274,84616},{5061,23662},{-28929,-14210}},
    {true, {-3514,9286},{18826,27197},{73597,85060}},
    {false, {-73563,-52052},{-1483,5727},{42293,55936}},
    {false, {-26925,-11613},{44345,64963},{-66419,-30161}},
    {true, {-22891,-2780},{-42061,-14656},{-80953,-64258}},
    {true, {13194,48131},{-77347,-61475},{13899,29867}},
    {true, {21814,32657},{-52867,-42563},{-64833,-38328}},
    {true, {50121,77992},{-18402,12993},{34458,53263}},
    {true, {-5816,9664},{-61030,-51780},{-57924,-42385}},
    {false, {-24547,-5855},{42851,55379},{-66831,-45917}},
    {true, {-79253,-62961},{-35210,-14357},{-1851,14458}},
    {false, {-45457,-34564},{-1909,19181},{-88225,-49236}},
    {true, {-73093,-48713},{-51280,-28270},{-58417,-26764}},
    {true, {28972,54932},{32695,46221},{-61346,-44126}},
    {false, {-72001,-63001},{21943,37488},{-48733,-22731}},
    {true, {-53378,-16455},{38563,66217},{-54458,-49292}},
    {true, {-50481,-38389},{33272,59345},{-48408,-25772}},
    {true, {-15684,16104},{-3749,26449},{-92691,-65542}},
    {true, {-48257,-34591},{42080,76060},{31710,47665}},
    {true, {-68085,-39645},{42059,66145},{-16754,12973}},
    {true, {16863,38701},{-73014,-55734},{-49006,-30858}},
    {true, {-47835,-12762},{19470,24912},{-72515,-52345}},
    {false, {76693,90007},{-22735,10009},{1595,23810}},
    {true, {-33312,2270},{27162,58916},{54379,77016}},
    {false, {-37166,-19572},{3437,29618},{65395,82988}},
    {true, {-69021,-40344},{51504,67404},{1562,19152}},
    {false, {44270,65868},{-20558,-1138},{-69620,-46023}},
    {true, {-25132,-893},{43048,69830},{33541,61843}},
    {false, {-26336,-11905},{-76697,-44759},{37333,48386}},
    {false, {-51573,-26363},{51024,85220},{17703,29898}},
    {true, {6972,29846},{40862,57749},{53546,67014}},
    {false, {-82587,-61588},{30156,55947},{-23441,-14242}},
    {true, {53623,67812},{-5042,4972},{41771,66174}},
    {false, {-20249,-1391},{56910,79807},{-54443,-40975}},
    {true, {9661,39445},{60898,86084},{12021,22727}},
    {true, {-5594,19977},{-15658,-11820},{63980,86826}},
    {false, {51879,80957},{-55766,-34337},{-21867,1368}},
    {false, {-9663,250},{-31246,-21672},{58525,87914}},
    {true, {-49707,-41630},{6704,24869},{-65152,-43466}},
    {true, {58344,69560},{-12016,-131},{29623,59642}},
    {true, {-60068,-39875},{49188,71862},{-23840,6463}},
    {true, {-72100,-54955},{-36846,-26054},{1190,18416}},
    {true, {21115,33940},{-89414,-56975},{-25177,-1394}},
    {false, {-69120,-43376},{29560,39845},{-46691,-27177}},
    {true, {-29488,-8760},{49023,71514},{-48639,-35316}},
    {false, {-237,19564},{-51062,-32851},{53532,84174}},
    {false, {29377,42498},{-87897,-54866},{-1260,2339}},
    {true, {-53421,-21867},{54307,61870},{22283,40589}},
    {false, {30204,36157},{-34923,-22939},{58831,75622}},
    {false, {45990,75451},{40254,65804},{-27928,-11460}},
    {false, {-5053,9582},{-56383,-35127},{-67131,-57546}},
    {true, {31129,54902},{-1102,-114},{65939,73127}},
    {true, {-47621,-24798},{-35621,-2323},{61417,82385}},
    {true, {-69723,-64530},{22399,28572},{-47850,-23758}},
    {false, {-31316,-13914},{22835,29818},{69274,85492}},
    {true, {-32403,-9823},{-34119,-12164},{66082,76097}},
    {true, {-79078,-44568},{39157,61837},{19345,34957}},
    {false, {30839,37226},{-67241,-42234},{-54829,-34916}},
    {true, {63646,75622},{12404,45966},{-20861,4171}},
    {false, {28471,57448},{-68089,-47516},{-33516,2}},
    {true, {62495,87569},{6106,27023},{-45194,-17767}},
    {false, {-38770,-31582},{-87012,-57465},{-28392,-2961}},
    {true, {16627,29254},{35706,48023},{-71576,-43430}},
    {false, {6249,33814},{24230,54794},{58085,82036}},
    {false, {-27246,8755},{4459,30303},{-93666,-72766}},
    {true, {58284,74924},{-16099,10160},{34646,54595}},
    {false, {-63748,-51168},{-13811,12314},{49634,76027}},
    {true, {22610,60232},{-45531,-24668},{48785,62445}},
    {false, {26226,50900},{-80496,-61749},{383,32992}},
    {false, {-772,26897},{7961,26898},{-80721,-73028}},
    {false, {-55010,-50585},{-36460,-23884},{52171,64350}},
    {true, {-76278,-56858},{31576,38443},{-32320,1565}},
    {false, {-41500,-10670},{-261,13422},{-82902,-66496}},
    {true, {19358,34516},{309,16749},{65757,78408}},
    {false, {-57721,-25243},{44303,64574},{18464,39920}},
    {true, {26428,31600},{69169,79816},{2105,40395}}
};
